dato	aftenposten.no	dagsavisen.no	document.no	klassekampen.no	minervanett.no	morgenbladet.no	nyhetsspeilet.no	radikalportal.no	rights.no	steigan.no	utrop.no	vl.no
2016-07-09	20	276	624	927	3284	1886	2461	4920	NA	1725	5348	689
2016-07-11	20	265	580	887	4063	1716	2282	5006	NA	1610	6795	693
2016-07-12	20	265	580	887	4063	1716	2282	5006	NA	1610	6795	693
2016-07-13	20	260	591	916	4220	1741	2324	4684	NA	1575	6760	687
2016-07-14	20	258	610	899	4571	1788	2042	4856	NA	1725	8047	699
2016-07-15	20	267	638	905	4098	1746	1832	5507	NA	1722	8613	690
2016-07-18	20	281	536	1045	4453	1851	1785	4339	NA	1861	4819	679
2016-07-19	21	288	493	1068	4709	1848	1762	4493	NA	1754	5162	671
2016-07-20	22	288	460	1060	4877	1723	1758	4627	NA	1587	5879	708
2016-07-22	20	308	409	1080	3655	1614	1994	5363	NA	1563	5508	760
2016-07-23	20	311	410	1085	3761	1567	1969	5684	NA	1479	5485	783
2016-07-24	20	316	400	1088	3913	1513	1930	5671	NA	1445	5558	789
2016-07-25	20	316	391	1057	4055	1497	1906	5642	NA	1373	5559	794
2016-07-26	20	323	370	1021	4172	1526	1944	5568	NA	1358	5676	806
2016-07-27	20	323	370	1021	4172	1526	1944	5568	NA	1358	5676	806
2016-07-28	20	326	371	1000	4159	1584	1853	5573	NA	1382	5826	808
2016-08-02	20	334	366	1011	4302	1321	1791	6158	NA	1276	6047	792
2016-08-03	20	334	366	1011	4302	1321	1791	6158	NA	1276	6047	792
2016-08-04	20	335	358	1026	4064	1337	1715	6022	NA	1280	5683	798
2016-08-06	20	339	352	1143	3845	1288	1662	5803	NA	1376	5471	813
2016-08-07	20	335	344	1091	3891	1275	1634	6409	603	1374	5470	823
2016-08-08	20	341	346	1083	3717	1233	1633	6322	626	1397	5160	832
